"","title","type","text"
"140","The Tragedy of Romeo and Juliet","Tragedy","  Samp. A dog of that house shall move me to stand. I will take"
"141","The Tragedy of Romeo and Juliet","Tragedy","    the wall of any man or maid of Montague's."
"142","The Tragedy of Romeo and Juliet","Tragedy",""
"143","The Tragedy of Romeo and Juliet","Tragedy","  Greg. That shows thee a weak slave; for the weakest goes to the"
"144","The Tragedy of Romeo and Juliet","Tragedy","    wall."
"145","The Tragedy of Romeo and Juliet","Tragedy",""
"146","The Tragedy of Romeo and Juliet","Tragedy","  Samp. 'Tis true; and therefore women, being the weaker vessels,"
"147","The Tragedy of Romeo and Juliet","Tragedy","    are ever thrust to the wall. Therefore I will push Montague's men"
"148","The Tragedy of Romeo and Juliet","Tragedy","    from the wall and thrust his maids to the wall."
"149","The Tragedy of Romeo and Juliet","Tragedy",""
"150","The Tragedy of Romeo and Juliet","Tragedy","  Greg. The quarrel is between our masters and us their men."
"151","The Tragedy of Romeo and Juliet","Tragedy",""
"152","The Tragedy of Romeo and Juliet","Tragedy","  Samp. 'Tis all one. I will show myself a tyrant. When I have"
"153","The Tragedy of Romeo and Juliet","Tragedy","    fought with the men, I will be cruel with the maids- I will cut off"
"154","The Tragedy of Romeo and Juliet","Tragedy","    their heads."
"155","The Tragedy of Romeo and Juliet","Tragedy",""
"156","The Tragedy of Romeo and Juliet","Tragedy","  Greg. The heads of the maids?"
"157","The Tragedy of Romeo and Juliet","Tragedy",""
"158","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Ay, the heads of the maids, or their maidenheads."
"159","The Tragedy of Romeo and Juliet","Tragedy","    Take it in what sense thou wilt."
"160","The Tragedy of Romeo and Juliet","Tragedy",""
"161","The Tragedy of Romeo and Juliet","Tragedy","  Greg. They must take it in sense that feel it."
"162","The Tragedy of Romeo and Juliet","Tragedy",""
"163","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Me they shall feel while I am able to stand; and 'tis known I"
"164","The Tragedy of Romeo and Juliet","Tragedy","    am a pretty piece of flesh."
"165","The Tragedy of Romeo and Juliet","Tragedy",""
"166","The Tragedy of Romeo and Juliet","Tragedy","  Greg. 'Tis well thou art not fish; if thou hadst, thou hadst"
"167","The Tragedy of Romeo and Juliet","Tragedy","    been poor-John. Draw thy tool! Here comes two of the house of"
"168","The Tragedy of Romeo and Juliet","Tragedy","    Montagues."
"169","The Tragedy of Romeo and Juliet","Tragedy",""
"170","The Tragedy of Romeo and Juliet","Tragedy","           Enter two other Servingmen [Abram and Balthasar]."
"171","The Tragedy of Romeo and Juliet","Tragedy",""
"172","The Tragedy of Romeo and Juliet","Tragedy",""
"173","The Tragedy of Romeo and Juliet","Tragedy","  Samp. My naked weapon is out. Quarrel! I will back thee."
"174","The Tragedy of Romeo and Juliet","Tragedy",""
"175","The Tragedy of Romeo and Juliet","Tragedy","  Greg. How? turn thy back and run?"
"176","The Tragedy of Romeo and Juliet","Tragedy",""
"177","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Fear me not."
"178","The Tragedy of Romeo and Juliet","Tragedy",""
"179","The Tragedy of Romeo and Juliet","Tragedy","  Greg. No, marry. I fear thee!"
"180","The Tragedy of Romeo and Juliet","Tragedy",""
"181","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Let us take the law of our sides; let them begin."
"182","The Tragedy of Romeo and Juliet","Tragedy",""
"183","The Tragedy of Romeo and Juliet","Tragedy","  Greg. I will frown as I pass by, and let them take it as they list."
"184","The Tragedy of Romeo and Juliet","Tragedy",""
"185","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Nay, as they dare. I will bite my thumb at them; which is"
"186","The Tragedy of Romeo and Juliet","Tragedy","    disgrace to them, if they bear it."
"187","The Tragedy of Romeo and Juliet","Tragedy",""
